
> fajrak@3.27.0+18 test:coverage
> jest --coverage

-------------------------|---------|----------|---------|---------|-------------------
File                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-------------------------|---------|----------|---------|---------|-------------------
All files                |   18.27 |    11.42 |      18 |   18.94 |                   
 hooks                   |       0 |        0 |       0 |       0 |                   
  useAccounts.ts         |       0 |        0 |       0 |       0 | 1-80              
  useFinancialSummary.ts |       0 |        0 |       0 |       0 | 1-45              
  useTransactions.ts     |       0 |        0 |       0 |       0 | 2-295             
 lib                     |   28.44 |    19.13 |      36 |   28.15 |                   
  cache.ts               |   83.33 |       50 |     100 |     100 | 9-16              
  cron-auth.ts           |     100 |      100 |     100 |     100 |                   
  currencies.ts          |     100 |      100 |     100 |     100 |                   
  currency.ts            |   82.35 |      100 |     100 |     100 |                   
  daily-lessons.ts       |       0 |        0 |       0 |       0 | 23-1012           
  detectCurrency.ts      |     100 |    83.33 |     100 |     100 | 127,136           
  firebase-admin.ts      |      80 |       40 |     100 |      80 | 58-59             
  firebase.ts            |       0 |        0 |       0 |       0 | 1-30              
  haptic.ts              |   83.33 |       80 |     100 |   83.33 | 3                 
  i18n.tsx               |   72.97 |    55.55 |      60 |   74.19 | 887,902-909       
  push-send.ts           |   26.66 |    14.28 |   33.33 |   25.92 | 16-17,34-79       
  theme-context.tsx      |       0 |        0 |       0 |       0 | 2-68              
  use-cached-data.ts     |       0 |        0 |       0 |       0 | 2-70              
  use-count-up.ts        |       0 |        0 |       0 |       0 | 2-26              
  use-pull-to-refresh.ts |       0 |        0 |       0 |       0 | 2-35              
  use-push.ts            |       0 |        0 |       0 |       0 | 2-122             
  use-swipe-delete.ts    |       0 |        0 |       0 |       0 | 2-31              
  user-context.tsx       |   70.37 |    16.66 |   71.42 |   69.23 | 23-24,31,38-43    
 lib/supabase            |       0 |      100 |       0 |       0 |                   
  client.ts              |       0 |      100 |       0 |       0 | 2-5               
  server.ts              |       0 |      100 |       0 |       0 | 1-36              
 types                   |     100 |      100 |     100 |     100 |                   
  index.ts               |     100 |      100 |     100 |     100 |                   
-------------------------|---------|----------|---------|---------|-------------------
